PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,FROM_YEAR,TO_YEAR,DRAFT_YEAR
1630700,Dyson,Daniels,Dyson Daniels,2003-03-17T00:00:00,Australia,6-7,199,3,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,2021.0,2025.0,2022
2845,Erik,Daniels,Erik Daniels,1982-04-01T00:00:00,USA,,,2,,Inactive,0,,,,,2004.0,2007.0,Undrafted
1380,Lloyd,Daniels,Lloyd Daniels,1967-09-04T00:00:00,USA,6-7,205,5,Guard,Inactive,0,,,,,1992.0,1997.0,Undrafted
2605,Marquis,Daniels,Marquis Daniels,1981-01-07T00:00:00,USA,6-6,200,11,Forward,Inactive,1610612742,Mavericks,DAL,mavericks,Dallas,2003.0,2012.0,Undrafted
76502,Mel,Daniels,Mel Daniels,1944-07-20T00:00:00,USA,6-9,220,1,Center,Inactive,1610612751,Nets,NYN,nets,New York,1976.0,1976.0,1967
203584,Troy,Daniels,Troy Daniels,1991-07-15T00:00:00,USA,6-4,200,8,Guard,Inactive,1610612756,Suns,PHX,suns,Phoenix,2013.0,2019.0,Undrafted
390,Sasha,Danilovic,Sasha Danilovic,1970-02-26T00:00:00,Serbia,6-6,200,2,Guard,Inactive,1610612748,Heat,MIA,heat,Miami,1995.0,1996.0,1992
1642368,N'Faly,Dante,N'Faly Dante,2001-10-19T00:00:00,Mali,6-11,230,1,Center,Active,1610612737,Hawks,ATL,hawks,Atlanta,2024.0,2025.0,Undrafted
76504,Adrian,Dantley,Adrian Dantley,1955-02-26T00:00:00,USA,6-5,208,15,Forward,Inactive,1610612762,Jazz,UTA,jazz,Utah,1976.0,1990.0,1976
76506,Henry,Darcey,Henry Darcey,1930-03-03T00:00:00,USA,6-7,217,1,Center,Inactive,1610612737,Hawks,MIH,hawks,Milwaukee,1952.0,1952.0,Undrafted
76507,Jimmy,Darden,Jimmy Darden,1922-06-19T00:00:00,USA,6-1,170,1,Guard,Inactive,1610610027,Nuggets,DN ,nuggets,Denver,1949.0,1949.0,1947
212,Yinka,Dare,Yinka Dare,1972-10-10T00:00:00,USA,7-0,265,4,Center,Inactive,0,,,,,1994.0,1997.0,1994
76509,Jesse,Dark,Jesse Dark,1951-09-02T00:00:00,USA,6-4,210,1,Guard,Inactive,1610612752,Knicks,NYK,knicks,New York,1974.0,1974.0,1974
1630268,Nate,Darling,Nate Darling,1998-08-30T00:00:00,Canada,6-6,200,2,Guard,Inactive,1610612766,Hornets,CHA,hornets,Charlotte,2020.0,2020.0,Undrafted
76511,Jimmy,Darrow,Jimmy Darrow,1937-09-25T00:00:00,USA,5-10,170,1,Guard,Inactive,1610612737,Hawks,STL,hawks,St. Louis,1961.0,1961.0,1960
